StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-40145,Olive Hillhouse,2002-08-20,BS Computer Engineering,Specialty Chemicals,95
2017-40146,Pail Seabrook,1993-04-19,BS Industrial Engineering,n/a,14
2017-40147,Quill Jeannesson,1993-11-22,BS Mathematics,n/a,5
2017-40148,Fredric Thoumasson,1997-01-15,BS Statistics,n/a,35
2017-40149,Marchall Giannasi,2001-08-05,BS Mathematics,n/a,31
2017-40150,Raine Scottesmoor,2010-05-29,BS Mathematics,Shoe Manufacturing,135
2017-40151,Thomas Southerns,2007-01-20,BS Industrial Engineering,Major Banks,136
2017-40152,Worth Lucio,1994-12-04,BA Communication Arts,Precious Metals,134
2017-40153,Kalinda Hawkyens,2002-12-07,BS Computer Science,Farming/Seeds/Milling,38
2017-40154,Rania Sparrowe,1997-10-02,BS Statistics,Computer Software: Prepackaged Software,143
2017-40155,Darb Mosdill,1998-10-29,BS Statistics,Medical Specialities,118
2017-40156,Merrielle Hadlow,2004-11-06,BS Mathematics,n/a,88
2017-40157,Bren O'Leary,2001-06-09,BA Communication Arts,Major Banks,130
2017-40158,Nikki Langcaster,1996-12-21,BA Sociology,Investment Managers,126
2017-40159,Betsy Graveney,1994-01-02,BS Industrial Engineering,Catalog/Specialty Distribution,88
2017-40160,Adara Mix,2008-08-13,BS Industrial Engineering,Major Banks,50
2017-40161,Allister Grabban,2002-01-30,BA Sociology,Packaged Foods,92
2017-40162,Laryssa Clague,2009-10-05,BS Computer Engineering,Transportation Services,148
2017-40163,Linea Macewan,2006-03-08,BS Statistics,Other Pharmaceuticals,60
2017-40164,Vilhelmina Potte,1998-02-10,BS Applied Physics,Major Chemicals,23
2017-40165,Elka Daviot,1998-10-12,BA Communication Arts,Specialty Chemicals,60
2017-40166,Sumner Benck,1994-12-12,BS Statistics,n/a,71
2017-40167,Merrielle Marxsen,1992-04-26,BS Computer Engineering,Major Pharmaceuticals,56
2017-40168,Aldus Liver,1994-09-08,BS Statistics,Real Estate Investment Trusts,108
2017-40169,Sashenka Burril,2007-05-11,BS Chemistry,Business Services,134
2017-40170,Glynn Stovell,2004-02-09,BS Mathematics,Major Banks,153
2017-40171,Claiborne Greenfield,1992-04-22,BA Communication Arts,n/a,74
2017-40172,Alvan Blowing,2003-09-17,BS Applied Physics,n/a,154
2017-40173,Thedric Heath,2000-05-27,BS Industrial Engineering,Military/Government/Technical,10
2017-40174,Joy Curman,2008-06-25,BS Chemistry,n/a,48
2017-40175,Antony Nursey,2005-11-15,BS Chemical Engineering,Industrial Machinery/Components,21
2017-40176,Helli Edgeworth,1996-01-28,BA Communication Arts,Major Banks,17
2017-40177,Myrtice Durbyn,2009-06-11,BS Computer Engineering,n/a,45
2017-40178,Maxy de Quincey,2003-10-28,BS Industrial Engineering,Precious Metals,15
2017-40179,Esma Twigge,1995-09-11,BS Applied Physics,Building Products,158
2017-40180,Maye Lawless,1994-05-24,BS Computer Engineering,n/a,76
2017-40181,Wenda Covet,2000-11-05,BS Chemical Engineering,n/a,101
2017-40182,William Maidlow,2004-01-22,BS Mathematics,Industrial Machinery/Components,131
2017-40183,Ellsworth Loisi,2002-09-04,BA Communication Arts,Electric Utilities: Central,139
2017-40184,Kellsie Motte,2007-03-25,BS Mathematics,Major Banks,35
2017-40185,Arline Cowan,1999-12-15,BA Communication Arts,Building operators,72
2017-40186,Sonny Rivallant,2010-05-06,BS Applied Physics,n/a,85
2017-40187,Perle Ashwin,1993-11-16,BA Communication Arts,n/a,22
2017-40188,Dinny Tupper,2001-11-10,BS Computer Science,Business Services,124
2017-40189,Melva Hurdis,2001-05-31,BS Statistics,Homebuilding,101
2017-40190,Phyllida Percy,1997-03-01,BS Chemical Engineering,Property-Casualty Insurers,80
2017-40191,Currey Cromarty,2010-04-23,BS Mathematics,Real Estate,108
2017-40192,Nataniel Reichhardt,2009-07-04,BS Applied Physics,Medical/Nursing Services,106
2017-40193,Bear MacKeller,1993-07-10,BA Sociology,Computer Software: Prepackaged Software,62
2017-40194,Spike Skoof,1997-05-17,BS Chemistry,Major Banks,18
2017-40195,Kayle Prinn,2005-02-10,BS Mathematics,Oil & Gas Production,3
2017-40196,Dougy Tollow,1995-08-03,BS Industrial Engineering,Semiconductors,23
2017-40197,Atalanta Karchewski,1997-12-02,BS Chemical Engineering,Real Estate,113
2017-40198,Townsend Woffenden,1995-04-19,BS Applied Physics,Major Pharmaceuticals,155
2017-40199,Mendel Spennock,2005-04-03,BS Statistics,Biotechnology: Biological Products (No Diagnostic Substances),31
2017-40200,Irving Passie,1997-03-25,BS Statistics,Medical Specialities,152
2017-40201,Marcille Andraud,2009-02-28,BS Statistics,Containers/Packaging,53
2017-40202,Drona Kernaghan,1999-04-15,BS Industrial Engineering,Integrated oil Companies,18
2017-40203,Martyn Phillp,2002-05-06,BA Sociology,Computer Manufacturing,74
2017-40204,Vivianne Hainning,2008-02-20,BS Computer Science,Biotechnology: Biological Products (No Diagnostic Substances),126
2017-40205,Scott Aleksandrikin,2004-03-16,BA Sociology,n/a,113
2017-40206,Gerri Jiru,2005-11-24,BS Computer Engineering,Major Pharmaceuticals,128
2017-40207,Jacquenette Luigi,2001-07-16,BA Communication Arts,Business Services,30
2017-40208,Wylie Martell,2004-11-28,BS Computer Engineering,Other Specialty Stores,79
2017-40209,Lindie Hek,2006-09-10,BS Mathematics,n/a,43
2017-40210,Minetta Pepis,1996-07-24,BS Computer Science,Real Estate Investment Trusts,102
2017-40211,Zeb Tibbles,2008-03-30,BS Mathematics,Real Estate Investment Trusts,64
2017-40212,Stefanie Bullin,1992-04-13,BS Industrial Engineering,n/a,125
2017-40213,Netta Neale,2010-09-01,BS Computer Engineering,Business Services,119
2017-40214,Gil Rumin,2005-08-29,BA Communication Arts,Business Services,97
2017-40215,Ailina Koppeck,2006-11-21,BS Chemistry,Real Estate Investment Trusts,111
2017-40216,Kathleen Gunnell,2007-01-05,BS Mathematics,Other Consumer Services,12
2017-40217,Desmund Hanselmann,2001-09-26,BS Industrial Engineering,EDP Services,88
2017-40218,Camel Chastang,1994-08-19,BS Industrial Engineering,Electric Utilities: Central,98
2017-40219,Etty Brecken,1998-09-18,BS Applied Physics,Real Estate Investment Trusts,142
2017-40220,Marj Pentland,1996-02-01,BS Computer Engineering,Agricultural Chemicals,153
2017-40221,Raina Dureden,1997-07-19,BS Chemistry,Savings Institutions,140
2017-40222,Sammy Sellner,1992-07-02,BS Statistics,n/a,34
2017-40223,Gillie Nayshe,2003-05-02,BS Mathematics,Major Chemicals,103
2017-40224,Cirstoforo O'Crowley,1996-04-09,BS Mathematics,n/a,47
2017-40225,Cele Hamm,1997-09-27,BS Mathematics,Television Services,14
2017-40226,Eimile Bythway,1997-12-16,BS Chemistry,Life Insurance,4
2017-40532,Cullin Sanzio,1999-12-20,BS Computer Science,n/a,25
2017-40227,Ianthe Banner,2001-05-12,BS Chemical Engineering,Real Estate Investment Trusts,42
2017-40228,Godard Jewes,2008-09-07,BS Computer Science,RETAIL: Building Materials,83
2017-40229,Essy Byrch,2000-05-19,BA Communication Arts,Major Chemicals,112
2017-40230,Catlin McCurlye,2009-12-24,BS Computer Engineering,EDP Services,49
2017-40231,Billie Gooley,2006-10-18,BA Communication Arts,Investment Bankers/Brokers/Service,127
2017-40232,Olivie Shevlane,2001-01-26,BS Industrial Engineering,Computer Software: Prepackaged Software,124
2017-40233,Colman Nottram,2009-05-17,BS Statistics,Paints/Coatings,148
2017-40234,Vladamir Fessier,2001-02-25,BS Statistics,Real Estate Investment Trusts,130
2017-40235,Marietta Backman,1992-09-07,BS Mathematics,Major Banks,151
2017-40236,Isadore Denisovo,2006-03-10,BA Sociology,n/a,46
2017-40237,Kippy Breddy,2005-01-29,BS Mathematics,Computer Software: Prepackaged Software,156
2017-40238,Suzanna Bernaldo,1993-12-09,BA Communication Arts,Specialty Insurers,86
2017-40239,Chrisse Maplesden,2006-10-20,BA Sociology,n/a,38
2017-40240,Marji Dunkersley,1993-10-12,BS Computer Engineering,Industrial Machinery/Components,150
2017-40241,Chelsae Kellegher,1994-03-25,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),127
2017-40242,Andromache Essex,1999-04-29,BS Computer Science,n/a,145
2017-40243,Alic Lace,1998-07-19,BS Applied Physics,Agricultural Chemicals,139
2017-40244,Ulrika de Amaya,2007-08-03,BA Sociology,Air Freight/Delivery Services,110
2017-40245,Bondy Prime,2000-07-02,BA Communication Arts,Major Banks,49
2017-40246,Amy Renbold,1997-10-14,BS Industrial Engineering,Restaurants,42
2017-40247,Nissy Coulson,1993-06-08,BA Communication Arts,Forest Products,8
2017-40248,Myra Frances,1993-08-23,BS Chemical Engineering,n/a,23
2017-40249,Allie Wombwell,2004-01-28,BA Communication Arts,Medical/Dental Instruments,107
2017-40250,Sully Westcar,2002-10-23,BA Communication Arts,n/a,28
2017-40251,Jethro Klulicek,2003-09-25,BS Mathematics,n/a,34
2017-40252,Giffy Goodinge,2005-12-30,BS Industrial Engineering,EDP Services,79
2017-40253,Jason Bausor,2002-11-16,BA Sociology,Auto Parts:O.E.M.,75
2017-40254,Shurwood Camier,2009-03-12,BS Industrial Engineering,Savings Institutions,151
2017-40255,Teador Garthshore,2005-09-23,BS Statistics,Textiles,76
2017-40256,Anatol Graalmans,1995-12-18,BA Communication Arts,Major Pharmaceuticals,50
2017-40257,Mildrid Bowle,2002-09-06,BS Mathematics,Major Pharmaceuticals,52
2017-40258,Orson Jodrelle,2006-03-09,BS Chemistry,Electric Utilities: Central,51
2017-40259,Darnall Keays,2006-06-22,BS Chemistry,Major Pharmaceuticals,157
2017-40260,Antony Mourton,2002-11-07,BS Applied Physics,Diversified Commercial Services,159
2017-40261,Yvette Bernollet,2006-05-08,BA Sociology,Integrated oil Companies,140
2017-40262,Andria Greste,1998-07-11,BS Mathematics,Trucking Freight/Courier Services,52
2017-40263,Alvy Klimsch,1992-01-01,BS Mathematics,Recreational Products/Toys,43
2017-40264,Wileen Jedrasik,2010-09-12,BA Communication Arts,Investment Bankers/Brokers/Service,127
2017-40265,Alisander Wattins,1997-07-16,BS Computer Science,Major Pharmaceuticals,92
2017-40266,Carlos McCleverty,2001-03-16,BS Mathematics,n/a,33
2017-40267,Samara Willbond,2002-10-21,BS Chemical Engineering,Major Pharmaceuticals,39
2017-40268,Forest Josephs,2010-11-13,BS Statistics,Computer Software: Prepackaged Software,39
2017-40269,Dorena Twentyman,2006-11-19,BA Communication Arts,Major Pharmaceuticals,16
2017-40270,Morton McNay,2007-11-27,BS Mathematics,Miscellaneous,7
2017-40271,Rianon Mecchi,2003-04-09,BA Sociology,Other Consumer Services,45
2017-40272,Kerry Mullord,2004-09-20,BS Applied Physics,Commercial Banks,73
2017-40273,Ludovico Brayley,1997-11-04,BA Sociology,Industrial Specialties,3
2017-40274,Patrice Correa,2001-05-03,BS Computer Science,Major Chemicals,46
2017-40275,Dilly Satford,2004-09-12,BS Chemical Engineering,Industrial Machinery/Components,88
2017-40276,Averil Joris,1992-06-18,BA Sociology,Industrial Machinery/Components,76
2017-40277,Ulla Simmig,2006-08-04,BS Statistics,n/a,134
2017-40278,Rollo Cantillion,1997-02-24,BS Mathematics,Railroads,66
2017-40279,Margaux Cammoile,2000-06-25,BS Chemistry,Office Equipment/Supplies/Services,36
2017-40280,Robbyn de Merida,1992-06-02,BS Mathematics,n/a,141
2017-40281,Travers Blucher,2010-01-21,BA Communication Arts,Multi-Sector Companies,85
2017-40282,Normand Robens,2009-03-08,BS Chemical Engineering,Major Banks,83
2017-40283,Robena Gayler,1999-12-08,BA Communication Arts,Major Pharmaceuticals,20
2017-40284,Vivienne Ziebart,2008-04-05,BS Chemical Engineering,n/a,58
2017-40285,Baron Duckerin,2008-06-26,BS Computer Science,Natural Gas Distribution,46
2017-40286,Sidney Joscelyne,2009-12-31,BA Sociology,Oil & Gas Production,157
2017-40287,Orton LLelweln,1995-05-15,BS Mathematics,Oilfield Services/Equipment,14
2017-40288,Ganny McSperron,2004-06-13,BS Chemical Engineering,Precious Metals,61
2017-40289,Vikky Navarro,1993-12-02,BA Communication Arts,Computer Software: Prepackaged Software,56
2017-40290,Delaney Duddin,1999-12-22,BS Chemistry,Forest Products,52
2017-40291,Rouvin McLarens,1997-12-04,BS Mathematics,Oil & Gas Production,141
2017-40292,Liane O'Noland,2002-01-25,BS Chemical Engineering,Commercial Banks,130
2017-40293,Neile Neagle,1997-02-11,BS Chemistry,n/a,129
2017-40294,Ruperta Folkes,2003-05-15,BS Statistics,EDP Services,83
2017-40295,Nicolas Finn,2001-09-26,BS Chemical Engineering,Electrical Products,106
2017-40296,Loralie Jacklings,2000-04-16,BS Chemistry,Computer Software: Prepackaged Software,95
2017-40297,Coreen Roche,1994-08-09,BS Industrial Engineering,Semiconductors,76
2017-40298,Mil Elvins,2008-12-11,BS Industrial Engineering,Major Pharmaceuticals,15
2017-40299,Geordie Spelwood,2008-04-20,BS Computer Science,Medical/Dental Instruments,55
2017-40300,Keen Searsby,1994-10-26,BS Industrial Engineering,Computer Software: Prepackaged Software,20
2017-40301,Isa Capehorn,1994-08-25,BS Mathematics,Water Supply,88
2017-40302,Genovera Van der Velden,1998-01-03,BS Chemistry,Services-Misc. Amusement & Recreation,62
2017-40303,Gavin Lochead,1999-10-12,BS Chemical Engineering,Building Products,73
2017-40304,Bo Yeoland,2001-02-26,BS Mathematics,Newspapers/Magazines,61
2017-40305,Kristos Audry,2002-02-06,BA Sociology,Medical/Dental Instruments,118
2017-40306,Dorolisa Suttling,2010-07-02,BS Computer Science,Business Services,108
2017-40307,Darya Dace,2005-04-14,BS Statistics,Major Banks,138
2017-40308,Candida Brockest,1996-11-02,BS Mathematics,n/a,138
2017-40309,Barton Laybourne,2007-06-20,BS Chemistry,n/a,56
2017-40310,Nanny Tolchard,1995-11-15,BS Industrial Engineering,Computer Software: Prepackaged Software,107
2017-40311,Else Gideon,2003-12-25,BA Communication Arts,Hospital/Nursing Management,22
2017-40312,Julee Brislen,2008-01-28,BS Mathematics,Major Banks,86
2017-40313,Jacklin Jakubski,2004-11-10,BS Chemistry,Natural Gas Distribution,17
2017-40314,Rab Swatheridge,2003-05-12,BS Computer Engineering,Major Chemicals,126
2017-40315,Concordia Hotson,2001-10-29,BS Computer Engineering,Major Pharmaceuticals,32
2017-40316,Constantine Rubinowicz,2005-02-11,BA Communication Arts,Transportation Services,52
2017-40317,Ermanno Bolesma,2008-06-09,BS Computer Science,Finance: Consumer Services,59
2017-40318,Julina Kivelle,2002-08-15,BS Applied Physics,Oil & Gas Production,142
2017-40319,Bobbe Ingerfield,2007-05-15,BS Mathematics,Metal Fabrications,155
2017-40320,Ramsey Gealle,2007-01-22,BS Mathematics,Oil Refining/Marketing,93
2017-40321,Cam Losselyong,2002-05-22,BS Statistics,n/a,128
2017-40322,Simmonds Lannon,2007-05-16,BS Computer Science,Hospital/Nursing Management,133
2017-40323,Clay Gethouse,2004-05-03,BS Mathematics,n/a,46
2017-40324,Dorri Forcade,1998-06-01,BS Computer Science,Industrial Machinery/Components,29
2017-40325,Wye Ghione,1996-11-11,BS Chemistry,Biotechnology: Biological Products (No Diagnostic Substances),79
2017-40326,Lynett Cansdill,1992-02-06,BS Mathematics,Air Freight/Delivery Services,80
2017-40327,Arabele Hamlen,2009-01-27,BA Communication Arts,Metal Fabrications,111
2017-40328,Dorris Reichartz,2004-02-19,BS Computer Engineering,Oil & Gas Production,111
2017-40329,Pryce Kieff,1997-01-10,BA Communication Arts,Major Pharmaceuticals,110
2017-40330,Christoper Pennycuick,2004-10-08,BS Statistics,Newspapers/Magazines,13
2017-40331,Johann Pleace,2006-11-03,BS Mathematics,Professional Services,117
2017-40332,Blaine Purdy,1997-06-30,BS Computer Science,Office Equipment/Supplies/Services,137
2017-40333,Sasha Bartleman,1997-12-06,BS Computer Engineering,Real Estate Investment Trusts,137
2017-40334,Marsha Loreit,2005-12-20,BS Chemistry,Real Estate Investment Trusts,24
2017-40335,Rogers Parris,1998-04-22,BS Mathematics,Clothing/Shoe/Accessory Stores,77
2017-40336,Bernetta Biermatowicz,1997-06-06,BS Industrial Engineering,Trucking Freight/Courier Services,26
2017-40337,Erskine Hawes,1996-04-04,BS Mathematics,EDP Services,53
2017-40338,Hunter O'Neill,2005-08-14,BS Applied Physics,Industrial Machinery/Components,24
2017-40339,Gustave Danilin,1994-04-19,BS Computer Engineering,Medical/Dental Instruments,31
2017-40340,Dwayne Cammidge,2004-03-24,BS Mathematics,Major Banks,43
2017-40341,Max Martschik,1998-01-07,BS Chemical Engineering,Home Furnishings,119
2017-40342,Fonzie Fairs,2007-10-18,BA Sociology,Specialty Foods,32
2017-40343,Jane Rebert,2000-04-18,BS Applied Physics,Real Estate,27
2017-40344,Sean Loche,2000-11-01,BS Industrial Engineering,n/a,71
2017-40345,Nariko Latter,1995-08-03,BS Industrial Engineering,Major Chemicals,32
2017-40346,Brit Ransbury,1995-08-14,BS Chemistry,Oil Refining/Marketing,31
2017-40347,Clarisse Harnes,2000-11-24,BS Chemical Engineering,Major Pharmaceuticals,119
2017-40348,Robinett Sweeney,2006-09-17,BS Applied Physics,Home Furnishings,95
2017-40349,Caro Pinnere,1996-04-16,BS Mathematics,n/a,47
2017-40350,Cecile Caroline,1999-05-23,BS Mathematics,Industrial Machinery/Components,121
2017-40351,Jaclin Ivers,1993-05-18,BS Computer Science,n/a,79
2017-40352,Claudia Strass,2006-01-09,BS Chemistry,n/a,106
2017-40353,Adan Crowth,2009-04-25,BS Statistics,Industrial Machinery/Components,144
2017-40354,Ed Rojahn,2004-05-31,BS Applied Physics,Other Specialty Stores,148
2017-40355,Mame Bovingdon,1995-07-11,BA Sociology,Semiconductors,106
2017-40356,Marco Tousey,2008-02-06,BS Industrial Engineering,Computer Software: Prepackaged Software,40
2017-40357,Leeanne Buttriss,1995-10-22,BS Mathematics,n/a,156
2017-40358,Gail Fatkin,1995-10-19,BS Chemical Engineering,Biotechnology: Electromedical & Electrotherapeutic Apparatus,84
2017-40359,Birgitta Oldknow,1995-02-15,BA Sociology,Major Pharmaceuticals,130
2017-40360,Joey Narracott,2007-12-27,BS Chemistry,"Computer Software: Programming, Data Processing",148
2017-40361,Heinrick Dulinty,2010-03-14,BS Computer Engineering,Biotechnology: Biological Products (No Diagnostic Substances),107
2017-40362,Ethelred Guillot,1995-06-04,BA Communication Arts,Packaged Foods,9
2017-40363,Adora Rounds,2007-04-05,BS Industrial Engineering,Property-Casualty Insurers,29
2017-40364,Ellis Godfray,1998-04-12,BS Mathematics,Telecommunications Equipment,74
2017-40365,Theda Cristou,1998-10-20,BS Industrial Engineering,Catalog/Specialty Distribution,27
2017-40366,Bree Wheway,2008-05-03,BS Mathematics,n/a,70
2017-40367,Tommi Thormwell,2004-07-14,BS Computer Science,Major Pharmaceuticals,146
2017-40368,Skyler Eisold,2003-03-03,BS Mathematics,Auto Parts:O.E.M.,46
2017-40369,Lloyd Denman,2005-01-26,BA Sociology,Semiconductors,114
2017-40370,Antonietta Brauns,1996-10-30,BS Computer Science,n/a,11
2017-40371,Brodie Rojel,1994-09-24,BA Sociology,Real Estate Investment Trusts,40
2017-40372,Kayne Boxhall,2006-09-02,BS Computer Science,Oil & Gas Production,75
2017-40373,Carmelle Boarer,1993-02-16,BS Mathematics,Oilfield Services/Equipment,152
2017-40374,Krisha Madgewick,2006-04-22,BS Chemistry,Real Estate Investment Trusts,98
2017-40375,Neila Craker,1992-12-09,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),28
2017-40376,Katerine Esbrook,2005-03-10,BS Computer Science,EDP Services,8
2017-40377,Townsend Lelievre,1992-06-07,BS Computer Science,n/a,27
2017-40378,Alfred Grzelak,2003-04-13,BS Mathematics,Major Banks,126
2017-40379,Borg Heak,2008-06-27,BA Communication Arts,Automotive Aftermarket,16
